Blob ID,Mean Intensity,Std Deviation,Area,LBP Mean,LBP Std,Imain1,Imain2,Final Inertia,Prediction
148,107,0,1,0,0,167933,0,inf,Debris
149,141.9230769,46.80805575,13,2.875,0.992156742,686098.0748,0.031744733,21612973.76,Debris
150,99.5,3.5,2,0.5,0.5,240371.1813,40536.31869,5.929773326,Debris
151,163.625,40.46584208,8,2.5,1.040833,346675.4171,10082.58291,34.38359201,Star
152,97,0,1,0,0,157940,0,inf,Debris
153,148.5,39.04484601,8,2.333333333,1.054092553,582700.0519,0.041847216,13924463.93,Debris
154,98.5,5.5,2,0.5,0.5,141222.2865,24053.21348,5.871244049,Debris
155,109,0,1,0,0,225437,0,inf,Debris
156,123,29,2,0.5,0.5,91491.52959,6940.970414,13.18137438,Debris
157,99,0,1,0,0,201170,0,inf,Debris
158,138,40.49279771,6,1.833333333,1.067187373,255784.8517,852.6483443,299.9886804,Debris
159,91,0,1,0,0,229261,0,inf,Debris
160,92,0,1,0,0,206368,0,inf,Debris
161,131,16,2,0.5,0.5,101163.7691,10503.73089,9.631222487,Debris
162,96,0,1,0,0,217216,0,inf,Debris
163,95,0,1,0,0,92537,0,inf,Debris
164,119.3333333,22.89589968,3,1.5,1.118033989,320773.1063,0.00482307,66508077.37,Debris
165,95,0,1,0,0,189153,0,inf,Debris
166,92,0,1,0,0,202093,0,inf,Debris
167,97,0,1,0,0,126641,0,inf,Debris
168,95,0,1,0,0,196677,0,inf,Debris
169,92,0,1,0,0,175325,0,inf,Debris
170,107,0,1,0,0,226514,0,inf,Debris
171,95,0,1,0,0,174973,0,inf,Debris
172,115,0,1,0,0,106565,0,inf,Debris
173,113,0,1,0,0,164705,0,inf,Debris
174,92,0,1,0,0,227170,0,inf,Debris
175,97,0,1,0,0,187874,0,inf,Debris
176,110.5,15.33786165,4,1.5,1.118033989,404456.9938,0.006181127,65434183.86,Debris
177,92,0,1,0,0,168193,0,inf,Debris
178,136.8333333,37.1547066,6,1.833333333,1.067187373,320086.7332,23840.76679,13.4260251,Debris
179,146.1428571,38.37197106,7,2.222222222,1.030402055,524706.5802,0.236175379,2221681.964,Debris
180,147.5,41.22600312,6,2.333333333,1.054092553,437579.3965,0.770177944,568153.6323,Debris
1,87,10,2,0.5,0.5,13315.74236,71.75764026,185.5654995,Debris
2,133.1666667,50.24412625,6,1.833333333,1.067187373,91857.34191,100.1580936,917.1235053,Debris
3,91,5,2,0.5,0.5,148308.5147,335.9853013,441.4136991,Debris
4,108.6666667,30.55414138,3,1.5,1.118033989,5607.728243,0.049534814,113207.8178,Debris
5,112,0,1,0,0,124745,0,inf,Debris
6,138.8,35.48746257,5,2,1.154700538,148652.7978,1152.442179,128.9893762,Debris
7,121.5,46.72526083,4,2,1.154700538,433856.6425,1439.982538,301.2929887,Debris
8,86,0,1,0,0,11920,0,inf,Debris
9,76,0,1,0,0,88180,0,inf,Debris
10,92,0,1,0,0,18493,0,inf,Debris
11,121.5,19.5,2,0.5,0.5,5800.590581,931.9094194,6.224414584,Debris
12,111.2,39.09680294,5,3,2.738612788,73595.92458,4278.595424,17.20095435,Debris
13,147.6,50.56520543,10,2.875,1.053268722,209216.3377,1.982254371,105544.6469,Star
14,94,0,1,0,0,135529,0,inf,Debris
15,79,0,1,0,0,8005,0,inf,Debris
16,80,0,1,0,0,93586,0,inf,Debris
17,105,0,1,0,0,125425,0,inf,Debris
18,123,21.85177338,4,1.5,1.118033989,53210.93458,0.065418885,813387.9802,Debris
19,98,9,2,0.5,0.5,39059.60875,3956.891247,9.871286904,Debris
20,122.5,44.70551793,6,2.333333333,1.054092553,34943.54853,0.618139854,56530.16591,Debris
21,130.1666667,45.69980549,6,2.444444444,1.065740339,139155.8096,0.357053005,389734.3185,Debris
22,117.3333333,25.97862369,3,1.5,1.118033989,221210.2495,0.194952289,1134689.163,Debris
23,146.5,19.93113143,4,1.5,1.118033989,52610.99679,0.003212256,16378206.99,Debris
24,75,0,1,0,0,27506,0,inf,Debris
25,80,0,1,0,0,125450,0,inf,Debris
26,119,32.9772649,4,1.5,1.118033989,29642.87447,0.125527637,236146.1991,Debris
27,94.33333333,10.49867717,3,1.5,1.118033989,229026.2669,0.177575459,1289740.532,Debris
28,96,13,2,0.5,0.5,119759.4592,6503.040797,18.41591694,Debris
29,86,6,2,0.5,0.5,222631.0582,6937.441758,32.09123277,Debris
30,81,0,1,0,0,29053,0,inf,Debris
31,112.75,20.49847555,4,1.5,1.118033989,178132.8803,0.119663478,1488615.268,Debris
32,109,0,1,0,0,141650,0,inf,Debris
33,116.6666667,24.4994331,3,1.5,1.118033989,183410.3256,0.11888886,1542704.053,Debris
34,102,0,1,0,0,22900,0,inf,Debris
35,86,6,2,0.5,0.5,125712.822,8138.67803,15.44634417,Debris
36,93.5,7.5,2,0.5,0.5,73573.8097,8701.690301,8.455117012,Debris
37,135.5,25.54897258,4,1.5,1.118033989,45986.71242,0.287583071,159907.578,Debris
38,81.5,1.5,2,0.5,0.5,207652.7415,11371.75854,18.26038961,Debris
39,99,0,1,0,0,29506,0,inf,Debris
40,120.25,11.09898644,4,1.5,1.118033989,78292.97297,0.027026691,2896876,Debris
41,108.5,16.99264547,4,1.75,1.089724736,106978.9995,0.000458034,233561354.3,Debris
42,129.5,24.31563283,4,1.5,1.118033989,127520.9939,0.006148007,20741841.68,Debris
43,122,31.34485604,4,1.5,1.118033989,74210.93207,0.067927997,1092494.037,Debris
44,84,0,1,0,0,29682,0,inf,Debris
45,138,37.88799282,4,1.5,1.118033989,279674.9119,0.08813447,3173275.035,Debris
46,111.5,0.5,2,0.5,0.5,120889.0729,13145.42711,9.196283383,Debris
47,171.4210526,46.12832877,19,3.194444444,1.745143172,363247.0198,46065.21842,7.885494354,Star
48,77,0,1,0,0,66757,0,inf,Debris
49,86,0,1,0,0,115624,0,inf,Debris
50,105.25,21.3585463,4,1.5,1.118033989,119620.9438,0.056210892,2128074.092,Debris
51,91,10,2,0.5,0.5,97992.56018,8984.939823,10.90631235,Debris
52,96.5,3.5,2,0.5,0.5,120616.7396,17631.76043,6.840878995,Debris
53,152.5625,49.01653898,16,2.875,0.970931683,375971.422,29146.93735,12.89917419,Star
54,99,14,2,0.5,0.5,128487.1781,18481.32191,6.952272066,Debris
55,141.5,39.89047505,4,2,1,363811.7258,26868.89921,13.54025422,Debris
56,80,0,1,0,0,70753,0,inf,Debris
57,110.5,16.5,2,0.5,0.5,123413.0807,14044.41933,8.787339492,Debris
